## name,t90,t90_error,t50,t50_error,flux_64,flux_64_error,dec,error_radius,relative_peak_time,relative_peak_time_error,t50_t90,t50_t90_error,cut_t90,cut_peak_time,cut_duration_ratio,cut_flux64,cut_dec,passes_all_cuts
GRB150313657,5.12,3.093,1.536,0.923,7.5512,1.6419,-47.85,8.42,0.2,0.1208203125,0.3,0.2556227592985631,True,True,True,True,False,False
GRB150314205,10.688,0.143,4.416,0.143,75.542,2.0358,63.8343,0.0005,0.11976047904191614,0.0016023342536483913,0.4131736526946108,0.014476537977236486,False,True,True,False,False,False
GRB150316400,1.984,1.541,0.896,0.543,2.9577,1.0714,53.14,11.44,0.12903225806451613,0.10022112382934444,0.45161290322580644,0.44491381591691387,True,True,True,True,False,False
GRB150318521,94.72,7.534,34.048,2.202,4.2452,1.2701,-30.22,2.19,0.1324324324324324,0.010533635409057706,0.3594594594594595,0.03684978831338032,False,True,True,True,False,False
GRB150319271,10.496,1.145,5.376,0.572,9.6842,1.7163,28.06,2.36,0.36585365853658536,0.0399106744497323,0.5121951219512195,0.07805079810537251,False,False,True,True,True,False
GRB150320462,0.064,0.36,0.048,0.058,15.1649,1.8918,68.93,10.55,0.0,0.0,0.75,4.31499022304802,True,True,True,False,False,False
GRB150322066,15.613,3.593,4.096,0.572,5.4858,1.0285,-48.05,2.8,0.11458400051239354,0.02636907153276308,0.2623454813296612,0.07061964300217297,False,True,True,True,False,False
GRB150323395,56.321,1.084,37.377,0.923,11.7648,1.3791,38.316,0.025,0.09545285062410112,0.0018371635815508539,0.6636423358960246,0.020777940458597398,False,True,True,False,True,False
GRB150323712,43.264,2.429,21.76,1.145,3.2697,1.1273,50.198,0.005,0.2662721893491124,0.014949499536080666,0.5029585798816568,0.03870142112763593,False,False,True,True,False,False
GRB150324164,4.608,0.724,2.304,0.362,8.0519,0.9152,-42.72,4.19,0.22222222222222224,0.034915123456790126,0.5,0.11109924253017804,False,True,True,True,False,False
GRB150324319,13.056,0.724,6.144,0.362,10.4571,1.3419,-20.04,1.7,0.29411764705882354,0.016309832756632066,0.4705882352941177,0.03807568794905393,False,False,True,True,False,False
GRB150325696,0.08,0.92,0.032,0.045,6.4082,1.038,37.75,10.17,0.2,2.3000000000000003,0.4,4.634264369886552,True,True,True,True,True,True
GRB150326521,5.888,1.18,1.024,0.362,4.1987,1.1315,8.19,12.11,0.06521739130434782,0.01307006143667297,0.17391304347826086,0.07067302846565035,False,True,True,True,True,False
GRB150326542,4.096,1.056,1.533,0.571,7.2083,1.2325,-19.65,5.94,0.188232421875,0.04852867126464844,0.374267578125,0.1695406855239351,True,True,True,True,False,False
GRB150329288,28.928,1.864,11.008,2.111,5.5202,1.4175,-12.32,11.73,0.061946902654867256,0.003991600751820816,0.3805309734513274,0.07698355605741854,False,True,True,True,False,False
GRB150330828,153.859,0.81,13.056,0.362,76.4508,2.3555,49.97,1.0,0.8086494777686063,0.004257184025585576,0.08485691444764361,0.0023948394692694538,False,False,False,False,False,False
GRB150403913,22.272,0.81,6.4,0.572,37.7678,2.075,-62.7118,0.001,0.20689655172413796,0.007524524375743165,0.2873563218390805,0.027727370092348165,False,True,True,False,False,False
GRB150404733,4.864,1.95,1.408,0.462,5.0884,1.2954,-67.37,8.87,0.10526315789473685,0.04220048476454294,0.2894736842105263,0.14996595342070726,True,True,True,True,False,False
GRB150411026,15.36,3.665,3.072,1.493,5.9164,1.5311,28.39,12.01,0.05,0.011930338541666667,0.2,0.10828328076749293,False,True,True,True,True,False
GRB150412507,0.576,1.319,0.256,0.231,5.9032,1.0491,2.91,17.59,0.0,0.0,0.4444444444444445,1.0939118787657882,True,True,True,True,False,False
GRB150412931,0.64,0.861,0.256,0.143,4.9471,0.9535,20.13,8.11,0.5,0.67265625,0.4,0.5826687155075773,True,True,True,True,True,True
GRB150415029,34.557,4.104,16.128,0.923,4.0994,0.713,-19.34,3.59,0.05917759064733628,0.007027948954384584,0.46670717944265994,0.061526178103080184,False,True,True,True,False,False
GRB150416773,33.281,3.665,8.448,0.923,5.4474,0.9844,52.96,1.93,0.30768306240798055,0.03388294894159576,0.25383852648658395,0.03937694430283041,False,False,True,True,False,False
GRB150418819,3.84,1.493,1.28,0.362,7.5819,1.5124,-43.53,9.17,0.33333333333333337,0.12960069444444447,0.33333333333333337,0.16026019473919084,True,False,True,True,False,False
GRB150422294,30.208,8.583,11.008,1.145,4.7988,1.0447,-53.56,10.29,0.19491525423728814,0.05538127738078139,0.3644067796610169,0.11025882712018457,False,True,True,True,False,False
GRB150422703,36.865,0.572,16.384,0.572,20.1619,1.4217,-20.86,1.07,0.18749491387494915,0.0029091846124093554,0.44443238844432387,0.01697943383883503,False,True,True,False,False,False
GRB150423285,14.336,8.039,4.608,1.145,4.8175,1.2866,-38.84,14.73,0.10714285714285714,0.06008101482780611,0.3214285714285714,0.19714611367986046,False,True,True,True,False,False
GRB150424403,36.096,5.954,13.824,1.619,5.3866,1.4076,-16.212,0.13,0.2411347517730497,0.03977494215582718,0.3829787234042554,0.0774755090552071,False,False,True,True,False,False
GRB150425617,4.352,0.923,2.56,0.923,3.4133,1.083,-55.5,8.18,0.11764705882352941,0.024951340830449826,0.5882352941176471,0.24605868212344137,True,True,True,True,False,False
GRB150426594,22.528,3.167,2.304,0.572,33.3643,2.905,-30.23,1.46,0.5454545454545454,0.07668033316115702,0.10227272727272727,0.029178727532291875,False,False,True,False,False,False
GRB150428305,32.512,3.278,16.384,2.521,3.5965,1.0748,69.51,6.06,0.21259842519685038,0.02143508974517949,0.5039370078740157,0.09270442015710197,False,True,True,True,False,False
GRB150430015,111.618,2.36,18.176,3.367,12.7527,1.7643,-27.9021,0.0014,0.11008977046712896,0.002327687812919281,0.16284111881596158,0.030361241661897447,False,True,True,False,False,False
GRB150501017,9.728,0.923,4.096,0.362,6.7507,1.2149,-15.57,3.25,0.10526315789473685,0.00998744806094183,0.4210526315789474,0.054596076551071716,False,True,True,True,False,False
GRB150502435,109.314,6.676,36.865,0.923,7.5513,1.1685,42.06,1.0,0.15924767184441152,0.009725537966164365,0.337239511864903,0.022259412146146462,False,True,True,True,True,False
GRB150506398,6.784,1.282,2.304,0.572,14.3676,1.4023,7.56,1.46,0.2075471698113208,0.03922103061587754,0.33962264150943394,0.10596343573128847,False,True,True,False,True,False
GRB150506630,0.512,0.326,0.256,0.143,11.8178,1.3101,67.81,3.21,0.0,0.0,0.5,0.4235084840179193,True,True,True,False,False,False
GRB150506972,0.384,0.181,0.192,0.143,4.9413,0.8674,-3.37,15.95,0.3333333333333333,0.15711805555555555,0.5,0.4407066419882218,True,True,True,True,False,False
GRB150507026,63.489,7.209,16.128,0.572,12.6826,1.412,-3.8,1.35,0.16128778213548808,0.01831378067719973,0.2540282568633937,0.030218505105100265,False,True,True,False,True,False
GRB150508945,113.92,1.619,100.096,0.724,6.3763,1.3171,-52.45,10.08,0.05842696629213476,0.0008303481252367115,0.8786516853932584,0.014011403673937854,False,True,False,True,False,False
GRB150510139,51.904,0.453,21.632,0.202,54.1662,1.5597,4.79,0.36,0.07028360049321825,0.0006134107395080892,0.41676942046855736,0.005326999096192978,False,True,True,False,True,False
GRB150511362,31.232,4.419,9.472,1.305,6.0802,1.3413,-30.35,5.05,0.0737704918032787,0.01043774984883096,0.30327868852459017,0.05989357828136591,False,True,True,True,False,False
GRB150512432,123.138,3.167,82.433,1.086,7.8457,1.3605,59.11,3.64,0.2785817538046744,0.0071648752968166115,0.6694359174259774,0.019344680715796096,False,False,True,True,False,False
GRB150513856,158.978,2.862,60.929,7.03,6.2349,1.3361,-22.91,0.04,0.12560228459283684,0.002261153986744701,0.3832542867566581,0.04475497688659544,False,True,True,True,False,False
GRB150514774,10.813,1.072,2.304,0.362,22.9321,1.5567,-60.91,0.12,0.052991769166743724,0.0052535999765790506,0.21307685193748263,0.03958576136988386,False,True,True,False,False,False
GRB150520893,15.616,6.992,3.072,1.619,4.8229,1.227,-1.63,9.87,0.0819672131147541,0.03670048374092986,0.19672131147540983,0.1360402339711561,False,True,True,True,False,False
GRB150522433,43.776,3.874,23.808,0.724,5.5648,2.152,-39.67,3.81,0.24561403508771926,0.02173585462193495,0.5438596491228069,0.05089173233798223,False,False,True,True,False,False
GRB150522944,1.024,0.58,0.256,0.143,4.3657,0.9951,58.58,10.47,0.0625,0.035400390625,0.25,0.19887857752566718,True,True,True,True,False,False
GRB150523396,82.433,2.573,23.552,0.362,10.2597,1.103,-45.4209,0.001,0.09937767641599844,0.0031018980434821485,0.2857108196959955,0.009940560624923891,False,True,True,True,False,False
GRB150523690,114.69,26.576,43.521,3.62,8.5543,2.4851,-39.2,5.74,0.14285465166971836,0.033102321237897255,0.37946638765367513,0.09342344667234724,False,True,True,True,False,False
GRB150527283,20.736,5.146,4.096,0.572,4.1823,1.0622,4.2013,0.0006,0.6419753086419754,0.15931736777930194,0.19753086419753085,0.05624906435870384,False,False,True,True,True,False
GRB150527662,63.233,5.184,18.944,1.619,5.1475,0.9994,-35.6,3.03,0.29149336580582924,0.023897357524353086,0.29959040374488005,0.03547959520415591,False,False,True,True,False,False
GRB150528656,13.056,1.278,6.656,0.724,8.5526,1.1278,-20.09,2.5,0.3921568627450981,0.03838667820069205,0.5098039215686274,0.07460134508129926,False,False,True,True,False,False
GRB150530488,7.168,0.572,2.56,0.724,8.3527,1.4128,57.5164,0.0009,0.39285714285714285,0.03134964923469387,0.35714285714285715,0.1049482426233303,False,False,True,True,False,False
GRB150601904,0.768,0.668,0.448,0.181,2.9465,0.9654,-53.82,6.84,0.33333333333333326,0.2899305555555555,0.5833333333333334,0.5594431174686694,True,True,True,True,False,False
GRB150602840,10.496,0.724,4.352,0.362,6.4854,0.9903,-74.21,2.45,0.2926829268292683,0.020188875669244495,0.41463414634146345,0.0448054207203864,False,False,True,True,False,False
GRB150603105,67.328,9.486,26.88,2.862,5.2976,1.0697,-37.87,2.74,0.08365019011406845,0.011785671688184014,0.3992395437262357,0.0705052954319363,False,True,True,True,False,False
GRB150603823,102.144,1.864,60.416,2.172,5.798,1.2614,-18.71,5.91,0.06516290726817042,0.0011891413998655787,0.5914786967418546,0.023846735296734752,False,True,True,True,False,False
GRB150604284,52.736,4.971,17.152,1.95,3.467,1.0648,-46.72,7.77,0.0825242718446602,0.007778901610660762,0.32524271844660196,0.04803317831360067,False,True,True,True,False,False
