name,t90,t90_error,t50,t50_error,flux_64,flux_64_error,dec,error_radius,relative_peak_time,relative_peak_time_error,t50_t90,t50_t90_error,cut_t90,cut_peak_time,cut_duration_ratio,cut_flux64,cut_dec,passes_all_cuts
GRB250804960,15.872,0.572,5.888,0.362,5.618,0.7927,-68.7,2.88,0.0967741935483871,0.0034875780437044744,0.3709677419354839,0.026436938033385152,False,True,True,True,False,False
GRB221021388,68.353,2.721,15.872,0.724,13.3667,2.1054,-68.58,11.89,0.464427311164104,0.01848794805901024,0.23220634061416473,0.014058367380238957,False,False,True,False,False,False
GRB240222369,3.776,0.466,0.768,0.405,8.4705,2.9776,-68.029,0.05,0.6610169491525423,0.08157677391554151,0.2033898305084746,0.11015427040440053,True,False,True,True,False,False
GRB221023862,39.169,0.724,13.824,0.362,67.8978,1.8053,15.01,0.04,0.24835967218974195,0.0045906814742621245,0.3529321657433174,0.011312469622515774,False,False,True,False,True,False
GRB260102883,1.6,0.528,0.704,0.466,7.0438,1.7436,-67.83,17.66,0.08,0.026399999999999996,0.43999999999999995,0.3254375554541915,True,True,True,True,False,False
GRB240422112,28.16,2.673,18.944,1.086,3.9102,1.2329,-67.43,9.86,0.13636363636363635,0.012943892045454547,0.6727272727272727,0.07459854197997327,False,True,True,True,False,False
GRB231123809,52.481,2.862,23.297,2.919,4.5556,1.4557,-67.55,4.86,0.13170480745412624,0.007182392845671945,0.44391303519368913,0.060660066087181594,False,True,True,True,False,False
GRB250527713,17.152,3.974,10.752,2.064,4.333,1.3156,15.03,9.71,0.14925373134328357,0.03458105925595901,0.6268656716417911,0.1886146807118121,False,True,True,True,True,False
GRB251208393,2.176,0.389,0.96,0.202,11.3606,1.9652,-66.66,3.87,0.11764705882352941,0.021031574394463667,0.4411764705882352,0.1218104998128569,True,True,True,True,False,False
GRB221108472,15.104,1.086,5.632,1.28,8.6023,2.4934,-54.71,12.76,0.11864406779661017,0.008530684429761563,0.3728813559322034,0.08888565203811605,False,True,True,True,False,False
GRB240112541,15.616,1.086,12.288,0.572,13.1272,5.722,-65.87,3.43,0.09836065573770492,0.006840399086267133,0.7868852459016393,0.06585073017754978,False,True,False,True,False,False
GRB240613991,3.072,0.572,1.792,0.362,5.2008,0.9578,-66.14,8.28,0.16666666666666666,0.03103298611111111,0.5833333333333334,0.16025990821955072,True,True,True,True,False,False
GRB250202165,89.088,1.448,68.608,2.29,52.8245,2.8974,16.48,1.43,0.09195402298850576,0.0014945831681860222,0.7701149425287357,0.02859058598295005,False,True,False,False,True,False
GRB250217477,27.392,1.145,8.448,1.379,8.2776,1.9576,34.87,6.02,0.5514018691588785,0.023048888003319067,0.30841121495327106,0.0519676013812496,False,False,True,True,True,False
GRB230715190,135.938,9.273,50.177,1.145,9.7483,1.0765,-65.18,2.07,0.27495623004605046,0.018756117650818947,0.3691168032485398,0.02655074463354131,False,False,True,True,False,False
GRB240905443,16.896,1.493,9.728,0.572,6.5014,1.7382,-65.53,4.8100000000000005,0.36363636363636365,0.03213240358126722,0.5757575757575757,0.061110580747987406,False,False,True,True,False,False
GRB240516150,46.337,3.566,22.529,3.806,4.1084,0.9227,-63.4878,0.017,0.08839588234024645,0.0068027648839009604,0.48619893389731744,0.09025836233596442,False,True,True,True,False,False
